tag,count
Step Forward,1
Cedi,1
Copy Image,1
Uniform Martial Arts,1
Trailer,1
Arrow-Small-Left,1
Circle Half Stroke,1
Pro,1
Conveyor Belt,1
Quiz,1
Details,1
Table Picnic,1
Accumulator,1
Covid 19,1
Store Lock,1
Header,1
Person Circle Xmark,1
Gun,1
Mill Sign,1
Drops,1
Lectern,1
Cash Register,1
Envelope-Download,1
Badge-Check,1
Lotus,1
Pan,1
Barcode Scan,1
Elevator,1
Lamp Desk,1
Pen Square,1
Smoke Detector,1
Payload,1
Cloud-Drizzle,1
Discover,1
House Building,1
Candle Holder,1
Children,1
Gas Stove,1
Bulk,1
Lamp,1
Capsules,1
Code Simple,1
Trash Slash,1
Caret-Circle-Up,1
Stomach,1
Tv-Music,1
Eye Dropper Half,1
Washing Machine,1
Sign-In-Alt,1
Apple Core,1
Cruzeiro,1
Thermometer Quarter,1
Bangladeshi Taka Sign,1
Offer,1
Mars,1
Egg-Fried,1
Engagement,1
Trumpet,1
Electronic,1
Snow Cloud,1
Celsius,1
Guard,1
Comment-User,1
Walker,1
Buddhism,1
Half Moon,1
Balance Scale,1
Query,1
Dinner,1
Pool 8 Ball,1
Cake Slice,1
Fantasy,1
Fox,1
Duration,1
Shaker,1
House-Flood,1
Face Anguished,1
Disabled Person,1
Car Wash,1
Plant Wilt,1
Laugh-Squint,1
Sort-Alpha-Down,1
Lollipop,1
Quilt,1
Message Quote,1
Safe Box,1
Fail,1
Shekel,1
Pestle,1
Comment-Check,1
Peso Sign,1
Snowboarding,1
Wagon,1
Swipe Right,1
Chess-Bishop,1
Taoism,1
Water Gun,1
Hexagon Check,1
Wheat Awn Circle Exclamation,1
Complete,1
Tent Arrow Down To Line,1
Bye,1
Reader,1
Can Food,1
Tracker,1
Hundred Points,1
File Minus,1
Caret-Circle-Right,1
Austral Sign,1
Users,1
Cyclone,1
Folk,1
User Ninja,1
Shirt Running,1
Square Small,1
Athletic,1
Jack-O-Lantern,1
Shutter,1
Theatre,1
Theta,1
Star Christmas,1
Figure,1
French Fries,1
Glass-Cheers,1
Grip Lines Vertical,1
Border Top,1
Pain,1
Bishop,1
Spider,1
Face Scream,1
Scent,1
Circle Video,1
Face Cowboy Hat,1
Custard,1
Forward Fast,1
Pointer,1
Bowl Rice,1
Hat Cowboy,1
Sort-Alt,1
Toggle Off,1
Hexagon,1
And,1
Holiday,1
Frog,1
Grin-Beam-Sweat,1
Thermometer Three Quarters,1
Sprinkler,1
Gamepad,1
Pi,1
Solar Panel,1
Caret-Square-Down,1
Biohazard,1
Mouth,1
Rising Sun,1
Washer,1
Do Not Enter,1
Glass Water Droplet,1
Text-Slash,1
Category Alt,1
Watermelon,1
Steak,1
Combine,1
Modem,1
Editing,1
Space Shuttle,1
Pennant,1
Arrow-Alt-Right,1
Perfume Bottle,1
Catalog,1
Mound,1
Sort-Alpha-Down-Alt,1
Slides,1
Thunderstorm-Moon,1
Arrow-Up-From-Square,1
Camera Rotate,1
Startup,1
Die,1
Investigation,1
Swatchbook,1
Square Minus,1
Up Left,1
Mouse Pointer,1
Seen,1
Tags,1
Qrcode,1
House Chimney Medical,1
Battery Three Quarters,1
Dot Circle,1
Toilet Paper Slash,1
File Image,1
Volume Down,1
User Shield,1
Move,1
Ticket Alt,1
Arrow-Circle-Down,1
Champagne Glasses,1
Seal Question,1
Mention,1
Barcode Read,1
Qr Scan,1
Set,1
Mug-Hot,1
Goods,1
Africa,1
Address Card,1
Files Medical,1
String,1
Level Down,1
Expense,1
Jerusalem,1
Monitoring,1
Text Height,1
Firewall,1
Circle D,1
Camera Viewfinder,1
Square Z,1
Goal Net,1
Users-Alt,1
Comment-Heart,1
Trans,1
Proximity,1
Grin-Tongue,1
Terrain,1
Circle Heart,1
Dice-D6,1
Broken Bone,1
Pump Medical,1
Table Rows,1
Sim Card,1
Descending Bars,1
Cottage,1
Smog,1
Spinning Top,1
Music Disc,1
Calendar Date,1
Speaker,1
Sickle,1
Tally,1
Truck Tow,1
Grip Horizontal,1
Book Dead,1
Ranking Star,1
Dong Sign,1
Wave Triangle,1
Shipping Fast,1
Dream,1
Lips,1
Run,1
Doughnut,1
Chart-Histogram,1
Equestrian,1
Get Out,1
Notes Medical,1
Hand Dots,1
Solution,1
Api,1
File User,1
Clock-Three,1
Text Box Edit,1
Barn,1
Gramophone,1
